"Name","SessionName","BeginTime","EndTime"
"Janet Adkins","2007 Regular Session","2007-01-08T00:00:00","2007-06-28T00:00:00"
"Emily Brandes","2007 Regular Session","2007-01-08T00:00:00","2007-06-28T00:00:00"
"Patrick Brennan","2007 Regular Session","2007-01-08T00:00:00","2007-06-28T00:00:00"
"Mike Reiley","2007 Regular Session","2007-01-08T00:00:00","2007-06-28T00:00:00"
"Rick Berkobien","2007 Regular Session","2007-01-08T00:00:00","2007-06-28T00:00:00"
"Rick Berkobien","2007 Regular Session","2007-01-08T00:00:00","2007-06-28T00:00:00"
"Erin Seiler","2007 Regular Session","2007-01-08T00:00:00","2007-06-28T00:00:00"
"Sandy Thiele-Cirka","2007 Regular Session","2007-01-08T00:00:00","2007-06-28T00:00:00"
"Erin Seiler","2007 Regular Session","2007-01-08T00:00:00","2007-06-28T00:00:00"
"Sandy Thiele-Cirka","2007 Regular Session","2007-01-08T00:00:00","2007-06-28T00:00:00"
"Andi Woodrum-Tom","2007 Regular Session","2007-01-08T00:00:00","2007-06-28T00:00:00"
"Derrick Olsen","2007 Regular Session","2007-01-08T00:00:00","2007-06-28T00:00:00"
"Andi Woodrum-Tom","2007 Regular Session","2007-01-08T00:00:00","2007-06-28T00:00:00"
"Derrick Olsen","2007 Regular Session","2007-01-08T00:00:00","2007-06-28T00:00:00"
"Krista Schuchard","2007 Regular Session","2007-01-08T00:00:00","2007-06-28T00:00:00"
"Susan Cook","2007 Regular Session","2007-01-08T00:00:00","2007-06-28T00:00:00"
"Eric Sorenson","2007 Regular Session","2007-01-08T00:00:00","2007-06-28T00:00:00"
"Steve Bender","2007 Regular Session","2007-01-08T00:00:00","2007-06-28T00:00:00"
"Mary Anne Nash","2007 Regular Session","2007-01-08T00:00:00","2007-06-28T00:00:00"
"Susan Jordan","2007 Regular Session","2007-01-08T00:00:00","2007-06-28T00:00:00"
"Hannah Crook","2007 Regular Session","2007-01-08T00:00:00","2007-06-28T00:00:00"
"Gary Roulier","2007 Regular Session","2007-01-08T00:00:00","2007-06-28T00:00:00"
"Jim Keller","2007 Regular Session","2007-01-08T00:00:00","2007-06-28T00:00:00"
"Judith Callens","2007 Regular Session","2007-01-08T00:00:00","2007-06-28T00:00:00"
"Susan Cook","2007 Regular Session","2007-01-08T00:00:00","2007-06-28T00:00:00"
"Dallas Weyand","2007 Regular Session","2007-01-08T00:00:00","2007-06-28T00:00:00"
"Barry Kessinger","2007 Regular Session","2007-01-08T00:00:00","2007-06-28T00:00:00"
"Ellen Osoinach","2007 Regular Session","2007-01-08T00:00:00","2007-06-28T00:00:00"
"Hannah Crook","2007 Regular Session","2007-01-08T00:00:00","2007-06-28T00:00:00"
"Doug Wilson","2007 Regular Session","2007-01-08T00:00:00","2007-06-28T00:00:00"
"Jim Keller","2007 Regular Session","2007-01-08T00:00:00","2007-06-28T00:00:00"
"Emily Brandes","2007 Regular Session","2007-01-08T00:00:00","2007-06-28T00:00:00"
"Darian Stanford","2007 Regular Session","2007-01-08T00:00:00","2007-06-28T00:00:00"
"Patsy Wood","2007 Regular Session","2007-01-08T00:00:00","2007-06-28T00:00:00"
"Matt Kalmanson","2007 Regular Session","2007-01-08T00:00:00","2007-06-28T00:00:00"
"Hannah Crook","2007 Regular Session","2007-01-08T00:00:00","2007-06-28T00:00:00"
"Paul Warner","2007 Regular Session","2007-01-08T00:00:00","2007-06-28T00:00:00"
"Hannah Crook","2007 Regular Session","2007-01-08T00:00:00","2007-06-28T00:00:00"
"Steve Meyer","2007 Regular Session","2007-01-08T00:00:00","2007-06-28T00:00:00"
"Paul Warner","2007 Regular Session","2007-01-08T00:00:00","2007-06-28T00:00:00"
"Gina Rumbaugh","2007 Regular Session","2007-01-08T00:00:00","2007-06-28T00:00:00"
"Ken Rocco","2007 Regular Session","2007-01-08T00:00:00","2007-06-28T00:00:00"
"Patsy Wood","2007 Regular Session","2007-01-08T00:00:00","2007-06-28T00:00:00"
"Matt Kalmanson","2007 Regular Session","2007-01-08T00:00:00","2007-06-28T00:00:00"
"Heather Gravelle","2007 Regular Session","2007-01-08T00:00:00","2007-06-28T00:00:00"
"Dana Richardson","2007 Regular Session","2007-01-08T00:00:00","2007-06-28T00:00:00"
"Mike Reiley","2007 Regular Session","2007-01-08T00:00:00","2007-06-28T00:00:00"
"Patsy Wood","2007 Regular Session","2007-01-08T00:00:00","2007-06-28T00:00:00"
"Andi Woodrum-Tom","2007 Regular Session","2007-01-08T00:00:00","2007-06-28T00:00:00"
"Judith Callens","2007 Regular Session","2007-01-08T00:00:00","2007-06-28T00:00:00"
"Andi Woodrum-Tom","2007 Regular Session","2007-01-08T00:00:00","2007-06-28T00:00:00"
"Theresa Van Winkle","2007 Regular Session","2007-01-08T00:00:00","2007-06-28T00:00:00"
"Andi Woodrum-Tom","2007 Regular Session","2007-01-08T00:00:00","2007-06-28T00:00:00"
"Janet Adkins","2007 Regular Session","2007-01-08T00:00:00","2007-06-28T00:00:00"
"Jennifer Black","2007 Regular Session","2007-01-08T00:00:00","2007-06-28T00:00:00"
"Darian Stanford","2007 Regular Session","2007-01-08T00:00:00","2007-06-28T00:00:00"
"Heather Gravelle","2007 Regular Session","2007-01-08T00:00:00","2007-06-28T00:00:00"
"Dana Richardson","2007 Regular Session","2007-01-08T00:00:00","2007-06-28T00:00:00"
"Ian Tolleson","2007 Regular Session","2007-01-08T00:00:00","2007-06-28T00:00:00"
"Sue Marshall","2007 Regular Session","2007-01-08T00:00:00","2007-06-28T00:00:00"
"Jennifer Black","2007 Regular Session","2007-01-08T00:00:00","2007-06-28T00:00:00"
"Darian Stanford","2007 Regular Session","2007-01-08T00:00:00","2007-06-28T00:00:00"
"Mary Anne Nash","2007 Regular Session","2007-01-08T00:00:00","2007-06-28T00:00:00"
"Rick Berkobien","2007 Regular Session","2007-01-08T00:00:00","2007-06-28T00:00:00"
"Eric Sorenson","2007 Regular Session","2007-01-08T00:00:00","2007-06-28T00:00:00"
"Krista Schuchard","2007 Regular Session","2007-01-08T00:00:00","2007-06-28T00:00:00"
"Marjorie Taylor","2007 Regular Session","2007-01-08T00:00:00","2007-06-28T00:00:00"
"Hannah Crook","2007 Regular Session","2007-01-08T00:00:00","2007-06-28T00:00:00"
"Steve Meyer","2007 Regular Session","2007-01-08T00:00:00","2007-06-28T00:00:00"
"Mazen Malik","2007 Regular Session","2007-01-08T00:00:00","2007-06-28T00:00:00"
"Mary Ayala","2007 Regular Session","2007-01-08T00:00:00","2007-06-28T00:00:00"
"Chris Allanach","2007 Regular Session","2007-01-08T00:00:00","2007-06-28T00:00:00"
"Paul Warner","2007 Regular Session","2007-01-08T00:00:00","2007-06-28T00:00:00"
"Krista Schuchard","2007 Regular Session","2007-01-08T00:00:00","2007-06-28T00:00:00"
"Marjorie Taylor","2007 Regular Session","2007-01-08T00:00:00","2007-06-28T00:00:00"
"Emily Brandes","2007 Regular Session","2007-01-08T00:00:00","2007-06-28T00:00:00"
"Patrick Brennan","2007 Regular Session","2007-01-08T00:00:00","2007-06-28T00:00:00"
"Jennifer Black","2007 Regular Session","2007-01-08T00:00:00","2007-06-28T00:00:00"
"Paul Warner","2007 Regular Session","2007-01-08T00:00:00","2007-06-28T00:00:00"
"Darian Stanford","2007 Regular Session","2007-01-08T00:00:00","2007-06-28T00:00:00"
"Josh Bishop","2007 Regular Session","2007-01-08T00:00:00","2007-06-28T00:00:00"
"Shannon Strumpfer","2007 Regular Session","2007-01-08T00:00:00","2007-06-28T00:00:00"
"Anna Wuitschick","2007 Regular Session","2007-01-08T00:00:00","2007-06-28T00:00:00"
"Ilana Weinbaum","2007 Regular Session","2007-01-08T00:00:00","2007-06-28T00:00:00"
"Anna Wuitschick","2007 Regular Session","2007-01-08T00:00:00","2007-06-28T00:00:00"
"Ilana Weinbaum","2007 Regular Session","2007-01-08T00:00:00","2007-06-28T00:00:00"
"Matt Davis","2007 Regular Session","2007-01-08T00:00:00","2007-06-28T00:00:00"
"Sue Marshall","2007 Regular Session","2007-01-08T00:00:00","2007-06-28T00:00:00"
"Heather Gravelle","2007 Regular Session","2007-01-08T00:00:00","2007-06-28T00:00:00"
"Robin LaMonte","2007 Regular Session","2007-01-08T00:00:00","2007-06-28T00:00:00"
"Brian Egger","2007 Regular Session","2007-01-08T00:00:00","2007-06-28T00:00:00"
"Anna Braun","2007 Regular Session","2007-01-08T00:00:00","2007-06-28T00:00:00"
"Adam Hicks","2007 Regular Session","2007-01-08T00:00:00","2007-06-28T00:00:00"
"Bill Taylor","2007 Regular Session","2007-01-08T00:00:00","2007-06-28T00:00:00"
"Chris Allanach","2007 Regular Session","2007-01-08T00:00:00","2007-06-28T00:00:00"
"Dana Richardson","2007 Regular Session","2007-01-08T00:00:00","2007-06-28T00:00:00"
"Mazen Malik","2007 Regular Session","2007-01-08T00:00:00","2007-06-28T00:00:00"
"Mary Ayala","2007 Regular Session","2007-01-08T00:00:00","2007-06-28T00:00:00"
"Sheila Baker","2007 Regular Session","2007-01-08T00:00:00","2007-06-28T00:00:00"
"Judith Callens","2007 Regular Session","2007-01-08T00:00:00","2007-06-28T00:00:00"
"Gina Rumbaugh","2007 Regular Session","2007-01-08T00:00:00","2007-06-28T00:00:00"
"Ken Rocco","2007 Regular Session","2007-01-08T00:00:00","2007-06-28T00:00:00"
"Sara Campbell","2007 Regular Session","2007-01-08T00:00:00","2007-06-28T00:00:00"
"Matt Kalmanson","2007 Regular Session","2007-01-08T00:00:00","2007-06-28T00:00:00"
"Bill Taylor","2007 Regular Session","2007-01-08T00:00:00","2007-06-28T00:00:00"
"Susan Wyant","2007 Regular Session","2007-01-08T00:00:00","2007-06-28T00:00:00"
"Andy Smith","2007 Regular Session","2007-01-08T00:00:00","2007-06-28T00:00:00"
"Erin Seiler","2007 Regular Session","2007-01-08T00:00:00","2007-06-28T00:00:00"
"Sandy Thiele-Cirka","2007 Regular Session","2007-01-08T00:00:00","2007-06-28T00:00:00"
"Emily Brandes","2007 Regular Session","2007-01-08T00:00:00","2007-06-28T00:00:00"
"Patrick Brennan","2007 Regular Session","2007-01-08T00:00:00","2007-06-28T00:00:00"
"Gary Roulier","2007 Regular Session","2007-01-08T00:00:00","2007-06-28T00:00:00"
"Cat McGinnis","2007 Regular Session","2007-01-08T00:00:00","2007-06-28T00:00:00"
"Ian Tolleson","2007 Regular Session","2007-01-08T00:00:00","2007-06-28T00:00:00"
"Carol- Phillips.","2007 Regular Session","2007-01-08T00:00:00","2007-06-28T00:00:00"
"Beth Patrino","2007 Regular Session","2007-01-08T00:00:00","2007-06-28T00:00:00"
"Bryan Penn","2007 Regular Session","2007-01-08T00:00:00","2007-06-28T00:00:00"
"Theresa Van Winkle","2007 Regular Session","2007-01-08T00:00:00","2007-06-28T00:00:00"
"Kristen Miller","2007 Regular Session","2007-01-08T00:00:00","2007-06-28T00:00:00"
"Steve Meyer","2007 Regular Session","2007-01-08T00:00:00","2007-06-28T00:00:00"
"Mike Reiley","2007 Regular Session","2007-01-08T00:00:00","2007-06-28T00:00:00"
"Derrick Olsen","2007 Regular Session","2007-01-08T00:00:00","2007-06-28T00:00:00"
